HDX tag,Education Indicator,Quality Indicator
geodata,school location,region
points,school location,region
3W,Partner Contact,
OUT OF SCHOOL,OOSC,
DEMOGRAPHIC,gender equity,gender
SOCIOECONOMIC,expenditure,
sustainable development,number of qualified teachers,
home,psychological support,
support,psychological support,
FACILITIES,,
OPENSTREETMAP,school location,region
OSM,school location,region
POI,school location,region
POINTS OF INTEREST,school location,region
DEMOGRAPHIC,,wealth quanitile
CAMP COORDINATION AND MANAGEMENT,,
FOOD AND NUTRITION,,
SHELTER,,
WASH,,
WATER SANITATION AND HYGIENE,
